theta,A2,a,b,z,status
30.0,-14.0,4.0,12.2,2.0,NotYet
30.0,-6.0,4.0,10.2,5.8,NotYet
30.0,-6.0,4.0,9.9,6.0,NotYet
30.0,-4.0,4.0,10.6,5.4,NotYet
30.0,-4.0,4.0,10.4,5.6,NotYet
30.0,-4.0,4.0,10.1,5.8,NotYet
30.0,-4.0,4.0,10.0,6.0,NotYet
30.0,-2.0,4.0,11.1,5.0,NotYet
30.0,-2.0,4.0,10.8,5.2,NotYet
30.0,-2.0,4.0,10.6,5.4,NotYet
30.0,-2.0,4.0,10.4,5.6,NotYet
30.0,-2.0,4.0,10.2,5.8,NotYet
30.0,-2.0,4.0,10.2,6.0,NotYet
30.0,0.0,4.0,11.4,4.6,NotYet
30.0,0.0,4.0,11.2,4.8,NotYet
30.0,0.0,4.0,11.0,5.0,NotYet
30.0,0.0,4.0,10.8,5.2,NotYet
30.0,0.0,4.0,10.6,5.4,NotYet
30.0,0.0,4.0,10.5,5.6,NotYet
30.0,0.0,4.0,10.5,5.8,NotYet
30.0,0.0,4.0,10.5,6.0,NotYet
30.0,2.0,4.0,12.3,2.0,NotYet
30.0,2.0,4.0,12.3,2.2,NotYet
30.0,2.0,4.0,12.2,2.4,NotYet
30.0,2.0,4.0,12.2,2.6,NotYet
30.0,2.0,4.0,12.1,2.8,NotYet
30.0,2.0,4.0,12.1,3.0,NotYet
30.0,2.0,4.0,11.8,4.0,NotYet
30.0,2.0,4.0,11.7,4.2,NotYet
30.0,2.0,4.0,11.6,4.4,NotYet
30.0,2.0,4.0,11.4,4.6,NotYet
30.0,2.0,4.0,11.2,4.8,NotYet
30.0,2.0,4.0,11.0,5.0,NotYet
30.0,2.0,4.0,10.8,5.2,NotYet
30.0,2.0,4.0,10.8,5.4,NotYet
30.0,2.0,4.0,10.7,5.6,NotYet
30.0,2.0,4.0,10.8,5.8,NotYet
30.0,2.0,4.0,10.8,6.0,NotYet
30.0,4.0,4.0,12.3,2.0,NotYet
30.0,4.0,4.0,12.3,2.2,NotYet
30.0,4.0,4.0,12.2,2.4,NotYet
30.0,4.0,4.0,12.2,2.6,NotYet
30.0,4.0,4.0,12.2,2.8,NotYet
30.0,4.0,4.0,12.2,3.0,NotYet
30.0,4.0,4.0,12.2,3.2,NotYet
30.0,4.0,4.0,12.1,3.4,NotYet
30.0,4.0,4.0,12.1,3.6,NotYet
30.0,4.0,4.0,12.0,3.8,NotYet
30.0,4.0,4.0,11.9,4.0,NotYet
30.0,4.0,4.0,11.8,4.2,NotYet
30.0,4.0,4.0,11.6,4.4,NotYet
30.0,4.0,4.0,11.4,4.6,NotYet
30.0,4.0,4.0,11.3,4.8,NotYet
30.0,4.0,4.0,11.1,5.0,NotYet
30.0,4.0,4.0,11.0,5.2,NotYet
30.0,4.0,4.0,11.0,5.4,NotYet
30.0,4.0,4.0,11.1,5.6,NotYet
30.0,4.0,4.0,11.1,5.8,NotYet
30.0,4.0,4.0,11.2,6.0,NotYet
30.0,6.0,4.0,12.4,2.0,NotYet
30.0,6.0,4.0,12.3,2.2,NotYet
30.0,6.0,4.0,12.3,2.4,NotYet
30.0,6.0,4.0,12.3,2.6,NotYet
30.0,6.0,4.0,12.4,2.8,NotYet
30.0,6.0,4.0,12.4,3.0,NotYet
30.0,6.0,4.0,12.4,3.2,NotYet
30.0,6.0,4.0,12.3,3.4,NotYet
30.0,6.0,4.0,12.3,3.6,NotYet
30.0,6.0,4.0,12.2,3.8,NotYet
30.0,6.0,4.0,12.0,4.0,NotYet
30.0,6.0,4.0,11.9,4.2,NotYet
30.0,6.0,4.0,11.7,4.4,NotYet
30.0,6.0,4.0,11.5,4.6,NotYet
30.0,6.0,4.0,11.4,4.8,NotYet
30.0,6.0,4.0,11.3,5.0,NotYet
30.0,6.0,4.0,11.3,5.2,NotYet
30.0,6.0,4.0,11.4,5.4,NotYet
30.0,6.0,4.0,11.5,5.6,NotYet
30.0,6.0,4.0,11.6,5.8,NotYet
30.0,8.0,4.0,12.5,2.0,NotYet
30.0,8.0,4.0,12.5,2.2,NotYet
30.0,8.0,4.0,12.5,2.4,NotYet
30.0,8.0,4.0,12.6,2.6,NotYet
30.0,8.0,4.0,12.5,3.6,NotYet
30.0,8.0,4.0,12.4,3.8,NotYet
30.0,8.0,4.0,12.2,4.0,NotYet
30.0,8.0,4.0,12.0,4.2,NotYet
30.0,8.0,4.0,11.9,4.4,NotYet
30.0,8.0,4.0,11.7,4.6,NotYet
30.0,8.0,4.0,11.7,4.8,NotYet
30.0,8.0,4.0,11.7,5.0,NotYet
30.0,8.0,4.0,11.7,5.2,NotYet
30.0,8.0,4.0,11.8,5.4,NotYet
30.0,8.0,4.0,11.9,5.6,NotYet
30.0,10.0,4.0,12.7,2.0,NotYet
30.0,10.0,4.0,12.6,3.8,NotYet
30.0,10.0,4.0,12.4,4.0,NotYet
30.0,10.0,4.0,12.2,4.2,NotYet
30.0,10.0,4.0,12.1,4.4,NotYet
30.0,10.0,4.0,12.0,4.6,NotYet
30.0,10.0,4.0,12.0,4.8,NotYet
30.0,10.0,4.0,12.1,5.0,NotYet
30.0,10.0,4.0,12.2,5.2,NotYet
30.0,10.0,4.0,12.3,5.4,NotYet
30.0,12.0,4.0,12.8,3.8,NotYet
30.0,12.0,4.0,12.6,4.0,NotYet
30.0,12.0,4.0,12.4,4.2,NotYet
30.0,12.0,4.0,12.3,4.4,NotYet
30.0,12.0,4.0,12.3,4.6,NotYet
30.0,12.0,4.0,12.4,4.8,NotYet
30.0,12.0,4.0,12.6,5.0,NotYet
30.0,12.0,4.0,12.7,5.2,NotYet
30.0,14.0,4.0,13.1,3.6,NotYet
30.0,14.0,4.0,12.9,3.8,NotYet
30.0,14.0,4.0,12.8,4.0,NotYet
30.0,14.0,4.0,12.7,4.2,NotYet
30.0,14.0,4.0,12.7,4.4,NotYet
30.0,14.0,4.0,12.8,4.6,NotYet
30.0,14.0,4.0,12.9,4.8,NotYet
