theta,A2,a,b,z,status
25.0,0.0,8.1,6.1,0.0,NotYet
25.0,2.0,8.0,6.2,-0.4,NotYet
25.0,2.0,8.0,6.1,-0.2,NotYet
25.0,2.0,8.0,6.1,0.0,NotYet
25.0,2.0,8.0,6.2,0.2,NotYet
25.0,4.0,7.8,6.3,-0.8,NotYet
25.0,4.0,7.8,6.3,-0.6,NotYet
25.0,4.0,7.9,6.2,-0.4,NotYet
25.0,4.0,7.9,6.1,-0.2,NotYet
25.0,4.0,7.9,6.2,0.0,NotYet
25.0,4.0,7.8,6.3,0.2,NotYet
25.0,6.0,7.8,6.3,-1.0,NotYet
25.0,6.0,7.8,6.3,-0.8,NotYet
25.0,6.0,7.8,6.2,-0.6,NotYet
25.0,6.0,7.9,6.1,-0.4,NotYet
25.0,6.0,7.9,6.1,-0.2,NotYet
25.0,6.0,7.8,6.2,0.0,NotYet
25.0,6.0,7.8,6.3,0.2,NotYet
25.0,6.0,7.7,6.5,0.4,NotYet
25.0,6.0,7.7,6.5,0.6,NotYet
25.0,6.0,7.7,6.5,0.8,NotYet
25.0,6.0,7.7,6.5,1.0,NotYet
25.0,6.0,7.7,6.5,1.2,NotYet
25.0,8.0,7.8,6.2,-1.2,NotYet
25.0,8.0,7.8,6.2,-1.0,NotYet
25.0,8.0,7.8,6.2,-0.8,NotYet
25.0,8.0,7.9,6.1,-0.6,NotYet
25.0,8.0,7.9,6.1,-0.4,NotYet
25.0,8.0,7.9,6.1,-0.2,NotYet
25.0,8.0,7.8,6.3,0.0,NotYet
25.0,8.0,7.8,6.4,0.2,NotYet
25.0,8.0,7.7,6.5,0.4,NotYet
25.0,8.0,7.7,6.5,0.6,NotYet
25.0,8.0,7.7,6.5,0.8,NotYet
25.0,8.0,7.7,6.5,1.0,NotYet
25.0,8.0,7.7,6.5,1.2,NotYet
25.0,8.0,7.7,6.5,1.4,NotYet
25.0,8.0,7.7,6.5,1.6,NotYet
25.0,8.0,7.8,6.3,1.8,NotYet
25.0,8.0,7.9,6.2,2.0,NotYet
25.0,10.0,7.8,6.2,-1.2,NotYet
25.0,10.0,7.9,6.2,-1.0,NotYet
25.0,10.0,7.9,6.2,-0.8,NotYet
25.0,10.0,8.0,6.1,-0.6,NotYet
25.0,10.0,8.0,6.1,-0.4,NotYet
25.0,10.0,8.0,6.2,-0.2,NotYet
25.0,10.0,7.9,6.4,0.0,NotYet
25.0,10.0,7.8,6.5,0.2,NotYet
25.0,10.0,7.8,6.5,0.4,NotYet
25.0,10.0,7.8,6.5,0.6,NotYet
25.0,10.0,7.8,6.5,0.8,NotYet
25.0,10.0,7.8,6.5,1.0,NotYet
25.0,10.0,7.8,6.5,1.2,NotYet
25.0,10.0,7.8,6.5,1.4,NotYet
25.0,10.0,7.8,6.5,1.6,NotYet
25.0,10.0,7.9,6.3,1.8,NotYet
25.0,10.0,8.0,6.2,2.0,NotYet
25.0,12.0,8.1,6.1,-0.8,NotYet
25.0,12.0,8.2,6.0,-0.6,NotYet
25.0,12.0,8.2,6.1,-0.4,NotYet
25.0,12.0,7.9,6.6,1.0,NotYet
25.0,12.0,7.9,6.6,1.2,NotYet
25.0,12.0,7.9,6.6,1.4,NotYet
25.0,12.0,8.0,6.5,1.6,NotYet
25.0,12.0,8.0,6.4,1.8,NotYet
25.0,12.0,8.1,6.3,2.0,NotYet
25.0,14.0,8.2,6.4,1.8,NotYet
25.0,14.0,8.3,6.3,2.0,NotYet
30.0,-8.0,4.0,12.1,0.6,NotYet
30.0,-8.0,4.0,12.0,0.8,NotYet
30.0,-8.0,4.0,12.0,1.0,NotYet
30.0,-6.0,4.0,12.2,0.2,NotYet
30.0,-6.0,4.0,12.0,0.4,NotYet
30.0,-6.0,4.0,12.0,0.6,NotYet
30.0,-6.0,4.0,12.0,0.8,NotYet
30.0,-6.0,4.0,12.1,1.0,NotYet
30.0,-4.0,4.0,12.3,-0.2,NotYet
30.0,-4.0,4.0,12.1,0.0,NotYet
30.0,-4.0,4.0,12.0,0.2,NotYet
30.0,-4.0,4.0,11.9,0.4,NotYet
30.0,-4.0,4.0,11.9,0.6,NotYet
30.0,-4.0,4.0,12.0,0.8,NotYet
30.0,-2.0,4.0,12.2,-0.4,NotYet
30.0,-2.0,4.0,12.0,-0.2,NotYet
30.0,-2.0,4.0,11.9,0.0,NotYet
30.0,-2.0,4.0,11.8,0.2,NotYet
30.0,-2.0,4.0,11.8,0.4,NotYet
30.0,-2.0,4.0,11.9,0.6,NotYet
30.0,-2.0,4.0,12.0,0.8,NotYet
30.0,0.0,4.0,12.2,-0.8,NotYet
30.0,0.0,4.0,12.1,-0.6,NotYet
30.0,0.0,4.0,12.0,-0.4,NotYet
30.0,0.0,4.0,11.8,-0.2,NotYet
30.0,0.0,4.0,11.8,0.0,NotYet
30.0,0.0,4.0,11.8,0.2,NotYet
30.0,0.0,4.0,11.9,0.4,NotYet
30.0,0.0,4.0,12.0,0.6,NotYet
30.0,2.0,4.0,12.1,-1.0,NotYet
30.0,2.0,4.0,12.0,-0.8,NotYet
30.0,2.0,4.0,11.9,-0.6,NotYet
30.0,2.0,4.0,11.8,-0.4,NotYet
30.0,2.0,4.0,11.7,-0.2,NotYet
30.0,2.0,4.0,11.8,0.0,NotYet
30.0,2.0,4.0,11.9,0.2,NotYet
30.0,2.0,4.0,12.0,0.4,NotYet
30.0,4.0,4.0,12.1,-1.2,NotYet
30.0,4.0,4.0,12.0,-1.0,NotYet
30.0,4.0,4.0,11.9,-0.8,NotYet
30.0,4.0,4.0,11.8,-0.6,NotYet
30.0,4.0,4.0,11.7,-0.4,NotYet
30.0,4.0,4.0,11.8,-0.2,NotYet
30.0,4.0,4.0,11.9,0.0,NotYet
30.0,4.0,4.0,12.1,0.2,NotYet
30.0,6.0,4.0,12.0,-1.4,NotYet
30.0,6.0,4.0,11.9,-1.2,NotYet
30.0,6.0,4.0,11.8,-1.0,NotYet
30.0,6.0,4.0,11.8,-0.8,NotYet
30.0,6.0,4.0,11.7,-0.6,NotYet
30.0,6.0,4.0,11.8,-0.4,NotYet
30.0,6.0,4.0,12.0,-0.2,NotYet
30.0,8.0,4.0,12.0,-1.6,NotYet
30.0,8.0,4.0,11.9,-1.4,NotYet
30.0,8.0,4.0,11.8,-1.2,NotYet
30.0,8.0,4.0,11.8,-1.0,NotYet
30.0,8.0,4.0,11.8,-0.8,NotYet
30.0,8.0,4.0,11.9,-0.6,NotYet
30.0,8.0,4.0,12.1,-0.4,NotYet
30.0,10.0,4.0,11.9,-1.6,NotYet
30.0,10.0,4.0,11.8,-1.4,NotYet
30.0,10.0,4.0,11.8,-1.2,NotYet
30.0,10.0,4.0,11.9,-1.0,NotYet
30.0,10.0,4.0,12.0,-0.8,NotYet
30.0,12.0,4.0,11.8,-1.8,NotYet
30.0,12.0,4.0,11.8,-1.6,NotYet
30.0,12.0,4.0,11.8,-1.4,NotYet
30.0,12.0,4.0,11.9,-1.2,NotYet
